tick,RTM,RTM45C,RTM45P,RTM46C,RTM46P,RTM47C,RTM47P,RTM48C,RTM48P,RTM49C,RTM49P,RTM50C,RTM50P,RTM51C,RTM51P,RTM52C,RTM52P,RTM53C,RTM53P,RTM54C,RTM54P
560,52.35,7.34,0.02,6.34,0.02,5.34,0.02,4.34,0.02,3.35,0.02,2.38,0.04,1.49,0.15,0.79,0.44,0.33,0.99,0.11,1.77
559,52.28,7.27,0.02,6.27,0.02,5.27,0.02,4.28,0.02,3.28,0.02,2.31,0.04,1.43,0.16,0.74,0.47,0.3,1.03,0.1,1.82
558,52.02,7.03,0.03,6.03,0.02,5.03,0.02,4.03,0.02,3.04,0.02,2.09,0.06,1.25,0.22,0.61,0.58,0.24,1.21,0.07,2.04
557,52.04,7.05,0.02,6.05,0.02,5.05,0.02,4.05,0.02,3.06,0.02,2.1,0.05,1.26,0.2,0.62,0.57,0.24,1.19,0.07,2.02
556,52.17,7.16,0.02,6.16,0.02,5.16,0.02,4.16,0.02,3.17,0.02,2.21,0.05,1.35,0.19,0.69,0.53,0.28,1.12,0.09,1.93
555,52.05,7.04,0.02,6.04,0.02,5.04,0.02,4.04,0.02,3.04,0.02,2.09,0.05,1.24,0.2,0.6,0.57,0.23,1.19,0.07,2.03
554,52.16,7.15,0.02,6.15,0.02,5.15,0.02,4.15,0.02,3.16,0.02,2.19,0.04,1.33,0.18,0.67,0.52,0.27,1.12,0.08,1.93
553,51.92,6.93,0.02,5.93,0.02,4.93,0.02,3.93,0.02,2.94,0.02,2.0,0.07,1.18,0.24,0.57,0.64,0.22,1.29,0.06,2.13
552,51.81,6.8,0.02,5.8,0.02,4.8,0.02,3.8,0.02,2.81,0.02,1.88,0.08,1.08,0.28,0.51,0.71,0.19,1.39,0.05,2.26
551,51.82,6.81,0.02,5.81,0.02,4.81,0.02,3.82,0.02,2.83,0.02,1.89,0.08,1.09,0.28,0.52,0.7,0.19,1.38,0.06,2.24
550,51.69,6.68,0.02,5.68,0.02,4.68,0.02,3.69,0.02,2.7,0.02,1.77,0.09,0.99,0.31,0.45,0.77,0.16,1.47,0.04,2.36
549,51.61,6.62,0.02,5.62,0.02,4.62,0.02,3.62,0.02,2.64,0.02,1.72,0.1,0.95,0.33,0.43,0.81,0.15,1.53,0.04,2.42
548,51.56,6.57,0.02,5.57,0.02,4.57,0.02,3.58,0.02,2.6,0.02,1.68,0.1,0.92,0.34,0.4,0.83,0.14,1.56,0.04,2.46
547,51.48,6.49,0.02,5.49,0.02,4.49,0.02,3.5,0.02,2.52,0.03,1.62,0.13,0.88,0.39,0.39,0.9,0.14,1.64,0.04,2.54
546,51.95,6.96,0.02,5.96,0.02,4.96,0.02,3.96,0.02,2.98,0.02,2.03,0.07,1.2,0.24,0.59,0.63,0.23,1.27,0.07,2.11
545,52.06,7.06,0.02,6.06,0.02,5.06,0.02,4.06,0.02,3.07,0.02,2.11,0.06,1.27,0.21,0.63,0.57,0.25,1.19,0.08,2.02
544,52.15,7.15,0.02,6.15,0.02,5.15,0.02,4.15,0.02,3.16,0.02,2.2,0.05,1.34,0.19,0.68,0.53,0.27,1.12,0.08,1.93
543,52.3,7.3,0.02,6.3,0.02,5.3,0.02,4.3,0.02,3.3,0.02,2.33,0.03,1.45,0.15,0.75,0.45,0.31,1.01,0.1,1.8
542,52.2,7.2,0.02,6.2,0.02,5.2,0.02,4.2,0.02,3.2,0.02,2.23,0.04,1.36,0.16,0.68,0.48,0.26,1.07,0.08,1.88
541,52.2,7.19,0.02,6.19,0.02,5.19,0.02,4.19,0.02,3.19,0.02,2.23,0.04,1.36,0.17,0.69,0.5,0.27,1.09,0.08,1.9
540,52.33,7.32,0.02,6.32,0.02,5.32,0.02,4.33,0.02,3.33,0.02,2.36,0.03,1.47,0.15,0.77,0.44,0.32,0.99,0.1,1.78
539,52.13,7.12,0.03,6.12,0.02,5.12,0.02,4.12,0.02,3.14,0.02,2.21,0.09,1.4,0.28,0.76,0.64,0.36,1.24,0.14,2.02
538,51.94,6.93,0.03,5.93,0.02,4.93,0.02,3.93,0.02,2.96,0.03,2.05,0.12,1.26,0.34,0.67,0.74,0.31,1.38,0.12,2.19
537,51.67,6.68,0.02,5.68,0.02,4.68,0.02,3.69,0.02,2.72,0.05,1.84,0.16,1.1,0.42,0.56,0.89,0.24,1.57,0.09,2.41
536,51.43,6.42,0.02,5.42,0.02,4.42,0.02,3.43,0.02,2.47,0.05,1.61,0.19,0.91,0.49,0.44,1.02,0.17,1.75,0.05,2.63
535,51.49,6.49,0.02,5.49,0.02,4.49,0.02,3.5,0.02,2.55,0.06,1.68,0.19,0.98,0.49,0.48,1.0,0.2,1.71,0.07,2.58
534,51.46,6.47,0.03,5.47,0.02,4.47,0.02,3.49,0.02,2.53,0.06,1.66,0.19,0.95,0.48,0.47,1.0,0.2,1.72,0.07,2.59
533,51.59,6.6,0.03,5.6,0.02,4.6,0.02,3.61,0.02,2.65,0.05,1.78,0.17,1.05,0.45,0.52,0.92,0.23,1.63,0.08,2.48
532,51.74,6.73,0.02,5.73,0.02,4.73,0.02,3.74,0.02,2.78,0.06,1.9,0.18,1.17,0.44,0.63,0.89,0.29,1.56,0.11,2.39
531,51.84,6.84,0.03,5.84,0.02,4.84,0.02,3.85,0.02,2.88,0.04,1.98,0.14,1.22,0.38,0.65,0.82,0.3,1.46,0.12,2.28
530,51.64,6.63,0.02,5.63,0.02,4.63,0.02,3.64,0.02,2.68,0.05,1.8,0.17,1.07,0.44,0.54,0.92,0.23,1.61,0.08,2.46
529,51.32,6.31,0.02,5.31,0.02,4.31,0.02,3.33,0.02,2.38,0.07,1.54,0.23,0.87,0.56,0.42,1.11,0.17,1.86,0.06,2.74
528,51.24,6.23,0.03,5.23,0.02,4.24,0.02,3.26,0.02,2.32,0.09,1.5,0.26,0.84,0.6,0.41,1.18,0.17,1.93,0.06,2.82
527,51.08,6.07,0.02,5.07,0.02,4.08,0.02,3.1,0.03,2.18,0.11,1.38,0.31,0.76,0.68,0.36,1.29,0.15,2.07,0.05,2.98
526,51.07,6.06,0.02,5.06,0.02,4.07,0.02,3.09,0.03,2.17,0.11,1.37,0.31,0.75,0.69,0.36,1.3,0.14,2.08,0.05,2.99
525,50.8,5.81,0.02,4.81,0.02,3.82,0.02,2.85,0.04,1.96,0.15,1.2,0.39,0.63,0.82,0.29,1.48,0.11,2.3,0.04,3.23
524,50.98,5.98,0.02,4.98,0.02,3.99,0.02,3.02,0.04,2.11,0.13,1.33,0.35,0.73,0.75,0.35,1.37,0.14,2.16,0.05,3.06
523,51.16,6.16,0.02,5.16,0.02,4.16,0.02,3.19,0.03,2.26,0.11,1.45,0.3,0.82,0.67,0.4,1.25,0.17,2.01,0.06,2.9
522,51.11,6.12,0.02,5.12,0.02,4.13,0.02,3.15,0.03,2.23,0.11,1.43,0.31,0.8,0.68,0.39,1.28,0.16,2.04,0.06,2.94
521,50.98,5.97,0.02,4.97,0.02,3.97,0.02,3.0,0.03,2.08,0.11,1.29,0.32,0.69,0.73,0.32,1.35,0.12,2.15,0.04,3.07
520,50.91,5.92,0.02,4.92,0.02,3.92,0.02,2.95,0.03,2.03,0.11,1.23,0.31,0.64,0.72,0.28,1.36,0.1,2.18,0.03,3.11
519,50.89,5.88,0.02,4.88,0.02,3.89,0.02,2.91,0.03,2.0,0.12,1.22,0.34,0.64,0.76,0.28,1.4,0.1,2.22,0.03,3.15
518,51.09,6.1,0.02,5.1,0.02,4.1,0.02,3.12,0.02,2.18,0.08,1.36,0.26,0.73,0.63,0.33,1.23,0.12,2.02,0.04,2.94
517,51.01,6.0,0.02,5.0,0.02,4.01,0.02,3.02,0.02,2.09,0.09,1.28,0.28,0.67,0.67,0.29,1.29,0.1,2.1,0.03,3.03
516,51.0,6.0,0.02,5.0,0.02,4.01,0.02,3.02,0.02,2.08,0.08,1.26,0.25,0.64,0.64,0.27,1.26,0.09,2.09,0.02,3.02
515,51.17,6.18,0.02,5.18,0.02,4.18,0.02,3.19,0.02,2.24,0.06,1.39,0.21,0.73,0.55,0.31,1.14,0.11,1.93,0.03,2.85
514,51.3,6.29,0.02,5.29,0.02,4.29,0.02,3.3,0.02,2.33,0.04,1.46,0.16,0.76,0.47,0.32,1.03,0.11,1.81,0.03,2.73
513,51.35,6.36,0.02,5.36,0.02,4.36,0.02,3.37,0.02,2.4,0.03,1.51,0.15,0.8,0.44,0.34,0.98,0.11,1.75,0.03,2.66
512,51.25,6.24,0.02,5.24,0.02,4.24,0.02,3.24,0.02,2.28,0.04,1.4,0.17,0.72,0.48,0.3,1.06,0.09,1.86,0.02,2.78
511,51.29,6.3,0.02,5.3,0.02,4.3,0.02,3.31,0.02,2.34,0.03,1.45,0.15,0.75,0.45,0.31,1.01,0.1,1.8,0.02,2.72
510,51.37,6.36,0.02,5.36,0.02,4.36,0.02,3.36,0.02,2.39,0.03,1.5,0.14,0.78,0.42,0.33,0.97,0.1,1.74,0.02,2.67
509,51.26,6.27,0.02,5.27,0.02,4.27,0.02,3.28,0.02,2.33,0.06,1.47,0.2,0.8,0.53,0.36,1.09,0.13,1.86,0.04,2.77
508,51.35,6.36,0.02,5.36,0.02,4.36,0.02,3.37,0.02,2.42,0.06,1.56,0.2,0.87,0.51,0.41,1.05,0.16,1.8,0.05,2.69
507,51.46,6.45,0.02,5.45,0.02,4.45,0.02,3.46,0.02,2.51,0.06,1.64,0.19,0.94,0.49,0.46,1.01,0.18,1.73,0.06,2.61
506,51.39,6.4,0.02,5.4,0.02,4.4,0.02,3.41,0.02,2.45,0.05,1.58,0.18,0.88,0.48,0.41,1.01,0.16,1.76,0.05,2.65
505,51.04,6.03,0.02,5.03,0.02,4.03,0.02,3.05,0.02,2.12,0.09,1.32,0.29,0.7,0.67,0.32,1.29,0.12,2.09,0.03,3.0
504,50.99,6.0,0.02,5.0,0.02,4.01,0.02,3.03,0.02,2.1,0.1,1.3,0.3,0.69,0.69,0.31,1.31,0.11,2.11,0.03,3.03
503,50.73,5.72,0.02,4.73,0.02,3.73,0.02,2.77,0.04,1.87,0.15,1.12,0.4,0.58,0.85,0.25,1.53,0.09,2.37,0.03,3.3
502,50.75,5.76,0.02,4.76,0.02,3.77,0.02,2.8,0.04,1.9,0.15,1.15,0.39,0.6,0.84,0.26,1.51,0.1,2.34,0.03,3.27
501,50.79,5.78,0.02,4.78,0.02,3.79,0.02,2.82,0.04,1.93,0.15,1.17,0.39,0.62,0.84,0.28,1.5,0.1,2.33,0.03,3.26
500,50.69,5.7,0.02,4.7,0.02,3.71,0.02,2.74,0.04,1.85,0.15,1.1,0.4,0.56,0.86,0.24,1.54,0.08,2.39,0.02,3.33
499,50.47,5.47,0.02,4.48,0.02,3.49,0.02,2.53,0.06,1.66,0.19,0.96,0.48,0.47,1.0,0.19,1.72,0.07,2.59,0.02,3.54
498,50.75,5.75,0.02,4.75,0.02,3.76,0.02,2.79,0.04,1.89,0.14,1.13,0.38,0.58,0.83,0.25,1.5,0.09,2.34,0.03,3.27
497,50.91,5.92,0.02,4.93,0.02,3.93,0.02,2.96,0.04,2.06,0.14,1.29,0.36,0.7,0.78,0.33,1.4,0.13,2.21,0.04,3.12
496,50.86,5.85,0.02,4.86,0.02,3.86,0.02,2.9,0.04,2.0,0.14,1.23,0.38,0.66,0.81,0.3,1.45,0.12,2.26,0.04,3.18
495,50.91,5.92,0.02,4.92,0.02,3.92,0.02,2.95,0.03,2.04,0.12,1.26,0.34,0.67,0.76,0.3,1.39,0.11,2.2,0.04,3.12
494,50.88,5.87,0.02,4.87,0.02,3.88,0.02,2.91,0.04,2.01,0.13,1.24,0.36,0.66,0.79,0.3,1.43,0.12,2.24,0.04,3.17
493,50.9,5.91,0.02,4.91,0.02,3.92,0.02,2.94,0.03,2.03,0.12,1.24,0.33,0.66,0.75,0.29,1.38,0.11,2.2,0.03,3.12
492,50.97,5.96,0.02,4.96,0.02,3.97,0.02,2.99,0.03,2.07,0.11,1.27,0.31,0.68,0.72,0.3,1.34,0.11,2.15,0.03,3.07
491,51.11,6.12,0.02,5.12,0.02,4.13,0.02,3.14,0.02,2.21,0.09,1.39,0.26,0.75,0.63,0.34,1.22,0.13,2.01,0.04,2.92
490,51.05,6.05,0.02,5.05,0.02,4.05,0.02,3.07,0.02,2.14,0.1,1.34,0.29,0.72,0.67,0.33,1.28,0.12,2.08,0.04,2.99
489,51.2,6.19,0.02,5.19,0.02,4.19,0.02,3.21,0.02,2.27,0.08,1.44,0.25,0.79,0.6,0.37,1.18,0.14,1.95,0.04,2.86
488,51.03,6.04,0.02,5.04,0.02,4.04,0.02,3.06,0.02,2.13,0.09,1.32,0.28,0.7,0.66,0.31,1.28,0.11,2.08,0.03,3.0
487,51.02,6.01,0.02,5.01,0.02,4.02,0.02,3.03,0.02,2.1,0.09,1.29,0.28,0.68,0.67,0.3,1.28,0.1,2.09,0.03,3.02
486,51.01,6.02,0.02,5.02,0.02,4.03,0.02,3.04,0.02,2.11,0.08,1.29,0.27,0.68,0.65,0.29,1.27,0.1,2.08,0.03,3.01
485,51.03,6.04,0.02,5.04,0.02,4.04,0.02,3.06,0.02,2.13,0.09,1.32,0.28,0.7,0.66,0.31,1.28,0.11,2.08,0.03,3.0
484,51.17,6.16,0.02,5.16,0.02,4.16,0.02,3.18,0.02,2.23,0.07,1.4,0.24,0.76,0.59,0.34,1.18,0.12,1.96,0.04,2.88
483,51.14,6.16,0.02,5.16,0.02,4.16,0.02,3.17,0.02,2.23,0.08,1.4,0.25,0.76,0.61,0.35,1.19,0.13,1.97,0.04,2.88
482,51.19,6.18,0.02,5.18,0.02,4.18,0.02,3.2,0.02,2.26,0.08,1.44,0.26,0.8,0.62,0.37,1.19,0.15,1.97,0.05,2.87
481,51.05,6.05,0.02,5.05,0.02,4.05,0.02,3.08,0.03,2.15,0.1,1.35,0.3,0.74,0.69,0.34,1.29,0.13,2.08,0.04,2.99
480,50.95,5.95,0.02,4.95,0.02,3.96,0.02,2.98,0.03,2.06,0.11,1.27,0.32,0.67,0.72,0.3,1.35,0.11,2.16,0.03,3.08
479,51.04,6.03,0.02,5.03,0.02,4.04,0.02,3.08,0.05,2.18,0.15,1.41,0.38,0.82,0.79,0.41,1.39,0.18,2.16,0.07,3.04
478,51.39,6.4,0.02,5.4,0.02,4.4,0.02,3.42,0.02,2.49,0.09,1.65,0.25,0.98,0.58,0.51,1.11,0.23,1.83,0.09,2.69
477,51.17,6.16,0.02,5.16,0.02,4.16,0.02,3.19,0.04,2.28,0.12,1.48,0.32,0.85,0.7,0.43,1.27,0.19,2.03,0.07,2.91
476,51.0,6.01,0.02,5.01,0.02,4.01,0.02,3.04,0.04,2.14,0.13,1.35,0.35,0.76,0.75,0.36,1.36,0.15,2.14,0.05,3.01
475,51.03,6.02,0.02,5.02,0.02,4.02,0.02,3.06,0.04,2.16,0.14,1.38,0.36,0.78,0.76,0.39,1.37,0.16,2.14,0.06,3.0
474,51.02,6.03,0.02,5.03,0.02,4.03,0.02,3.08,0.05,2.18,0.15,1.4,0.37,0.81,0.77,0.4,1.37,0.18,2.14,0.07,2.99
473,50.81,5.8,0.02,4.8,0.02,3.8,0.02,2.86,0.06,1.98,0.18,1.23,0.43,0.68,0.88,0.33,1.53,0.13,2.33,0.05,3.22
472,50.66,5.66,0.02,4.66,0.02,3.66,0.02,2.73,0.07,1.86,0.2,1.14,0.48,0.62,0.96,0.29,1.63,0.12,2.46,0.04,3.35
471,50.72,5.72,0.02,4.72,0.02,3.72,0.02,2.78,0.06,1.91,0.19,1.17,0.46,0.64,0.92,0.3,1.58,0.12,2.4,0.04,3.29
470,50.48,5.48,0.02,4.48,0.02,3.48,0.02,2.55,0.08,1.71,0.23,1.02,0.54,0.53,1.06,0.24,1.76,0.09,2.61,0.03,3.53
469,50.71,5.72,0.02,4.72,0.02,3.72,0.02,2.78,0.06,1.91,0.19,1.18,0.46,0.65,0.93,0.31,1.59,0.12,2.41,0.04,3.29
468,50.69,5.7,0.02,4.7,0.02,3.7,0.02,2.76,0.06,1.89,0.19,1.16,0.47,0.63,0.93,0.29,1.59,0.12,2.42,0.04,3.31
467,50.62,5.63,0.02,4.64,0.02,3.64,0.02,2.69,0.06,1.82,0.19,1.1,0.47,0.58,0.95,0.25,1.62,0.1,2.47,0.03,3.38
466,50.7,5.71,0.02,4.71,0.02,3.71,0.02,2.76,0.06,1.88,0.18,1.15,0.45,0.62,0.91,0.27,1.57,0.11,2.4,0.04,3.3
465,50.93,5.93,0.02,4.93,0.02,3.93,0.02,2.98,0.05,2.09,0.17,1.33,0.41,0.76,0.83,0.38,1.45,0.16,2.24,0.06,3.1
464,51.15,6.15,0.02,5.15,0.02,4.15,0.02,3.18,0.03,2.26,0.12,1.46,0.31,0.84,0.69,0.42,1.27,0.18,2.03,0.06,2.87
463,51.15,6.15,0.02,5.15,0.02,4.15,0.02,3.18,0.03,2.25,0.11,1.45,0.3,0.82,0.67,0.39,1.25,0.17,2.02,0.06,2.87
462,51.28,6.27,0.03,5.27,0.02,4.27,0.02,3.3,0.03,2.37,0.1,1.55,0.28,0.9,0.63,0.44,1.18,0.2,1.93,0.07,2.76
461,51.37,6.38,0.03,5.38,0.02,4.38,0.02,3.4,0.02,2.46,0.08,1.62,0.23,0.93,0.56,0.47,1.09,0.2,1.82,0.07,2.64
460,51.25,6.26,0.03,5.26,0.02,4.26,0.02,3.29,0.03,2.36,0.1,1.55,0.28,0.9,0.63,0.45,1.19,0.2,1.94,0.07,2.76
459,51.0,5.99,0.02,4.99,0.02,3.99,0.02,3.02,0.04,2.11,0.13,1.33,0.34,0.73,0.75,0.35,1.36,0.14,2.15,0.05,3.03
458,50.85,5.84,0.02,4.84,0.02,3.84,0.02,2.88,0.04,1.97,0.13,1.2,0.36,0.63,0.79,0.28,1.44,0.1,2.26,0.03,3.17
457,50.85,5.85,0.02,4.85,0.02,3.85,0.02,2.89,0.04,1.98,0.14,1.22,0.37,0.65,0.8,0.29,1.45,0.11,2.27,0.04,3.16
456,50.93,5.93,0.02,4.93,0.02,3.93,0.02,2.97,0.04,2.07,0.14,1.3,0.36,0.71,0.78,0.34,1.4,0.13,2.2,0.05,3.08
455,51.2,6.19,0.03,5.19,0.02,4.19,0.02,3.23,0.04,2.31,0.12,1.51,0.32,0.87,0.68,0.45,1.25,0.2,2.0,0.07,2.84
454,51.27,6.26,0.03,5.26,0.02,4.26,0.02,3.29,0.03,2.37,0.11,1.56,0.3,0.9,0.64,0.47,1.21,0.21,1.95,0.08,2.77
453,51.37,6.36,0.03,5.36,0.02,4.36,0.02,3.39,0.03,2.47,0.11,1.64,0.28,0.98,0.61,0.52,1.16,0.24,1.88,0.09,2.68
452,51.47,6.47,0.02,5.47,0.02,4.47,0.02,3.49,0.02,2.55,0.08,1.71,0.24,1.02,0.55,0.54,1.06,0.24,1.77,0.09,2.57
451,51.51,6.51,0.02,5.51,0.02,4.51,0.02,3.54,0.03,2.6,0.09,1.76,0.25,1.07,0.56,0.58,1.07,0.27,1.76,0.11,2.54
450,51.36,6.35,0.03,5.35,0.02,4.35,0.02,3.38,0.03,2.45,0.1,1.62,0.27,0.95,0.6,0.5,1.15,0.22,1.88,0.09,2.69
449,51.49,6.48,0.02,5.48,0.02,4.48,0.02,3.49,0.02,2.54,0.06,1.68,0.2,0.98,0.5,0.49,1.01,0.21,1.73,0.07,2.55
448,51.62,6.61,0.02,5.61,0.02,4.61,0.02,3.62,0.02,2.66,0.05,1.78,0.17,1.05,0.44,0.53,0.92,0.23,1.62,0.08,2.42
447,51.73,6.72,0.02,5.72,0.02,4.72,0.02,3.73,0.02,2.76,0.05,1.88,0.16,1.13,0.42,0.59,0.88,0.26,1.55,0.1,2.32
446,51.79,6.78,0.02,5.78,0.02,4.78,0.02,3.79,0.02,2.82,0.04,1.92,0.13,1.15,0.37,0.59,0.81,0.26,1.48,0.09,2.25
445,51.84,6.83,0.02,5.83,0.02,4.83,0.02,3.84,0.02,2.86,0.03,1.94,0.11,1.16,0.33,0.59,0.76,0.25,1.41,0.08,2.25
444,51.86,6.87,0.02,5.87,0.02,4.87,0.02,3.87,0.02,2.88,0.02,1.95,0.08,1.15,0.28,0.56,0.69,0.22,1.35,0.07,2.2
443,51.79,6.78,0.02,5.78,0.02,4.78,0.02,3.78,0.02,2.8,0.02,1.86,0.08,1.07,0.29,0.5,0.72,0.18,1.41,0.05,2.27
442,51.85,6.84,0.02,5.84,0.02,4.84,0.02,3.85,0.02,2.86,0.02,1.92,0.07,1.11,0.26,0.52,0.68,0.19,1.35,0.06,2.21
